                  omega_v                        N
                 0.838555                       96
                 0.840557                       96
                 0.842559                       96
                  0.84456                       96
                 0.846562                       96
                 0.848564                       96
                 0.850566                       96
                 0.852567                       96
                 0.854569                       96
                 0.856571                       96
                 0.858573                       96
                 0.860574                       96
                 0.862576                       96
                 0.864578                       96
                  0.86658                       96
                 0.868581                       96
                 0.870583                       96
                 0.872585                       96
                 0.874587                       96
                 0.876588                       96
                  0.87859                       96
                 0.880592                       96
                 0.882594                       96
                 0.884595                       96
                 0.886597                       96
                 0.888599                       96
                 0.890601                       96
                 0.892602                       96
                 0.894604                       96
                 0.896606                       96
                 0.898607                       96
                 0.900609                       96
                 0.902611                       96
                 0.904613                       96
                 0.906614                       96
                 0.908616                       96
                 0.910618                       96
                  0.91262                       96
                 0.914621                       96
                 0.916623                       96
                 0.918625                       96
                 0.920627                       96
                 0.922628                       96
                  0.92463                       96
                 0.926632                       96
                 0.928634                       96
                 0.930635                       96
                 0.932637                       96
                 0.934639                       96
                 0.936641                       96
                 0.938642                       96
                 0.940644                       96
                 0.942646                       96
                 0.944648                       96
                 0.946649                       96
                 0.948651                       96
                 0.950653                       96
                 0.952654                       96
                 0.954656                       96
                 0.956658                       96
                  0.95866                       96
                 0.960661                       96
                 0.962663                       96
                 0.964665                       96
                 0.966667                       96
                 0.968668                       96
                  0.97067                       96
                 0.972672                       96
                 0.974674                       96
                 0.976675                       96
                 0.978677                       96
                 0.980679                       96
                 0.982681                       96
                 0.984682                       96
                 0.986684                       96
                 0.988686                       96
                 0.990688                       96
                 0.992689                       96
                 0.994691                       96
                 0.996693                       96
                 0.998695                       96
                   1.0007                       96
                   1.0027                       96
                   1.0047                       96
                   1.0067                       96
                   1.0087                       96
                   1.0107                       96
                  1.01271                       96
                  1.01471                       96
                  1.01671                       96
                  1.01871                       96
                  1.02071                       96
                  1.02272                       96
                  1.02472                       97
                  1.02672                       97
                  1.02872                       96
                  1.03072                       96
                  1.03272                       97
                  1.03473                       97
                  1.03673                       97
                  1.03873                       97
                  1.04073                       97
                  1.04273                       97
                  1.04473                       97
                  1.04674                       97
                  1.04874                       97
                  1.05074                       97
                  1.05274                       97
                  1.05474                       97
                  1.05674                       97
                  1.05875                       97
                  1.06075                       97
                  1.06275                       97
                  1.06475                       97
                  1.06675                       97
                  1.06876                       97
                  1.07076                       97
                  1.07276                       97
                  1.07476                       97
                  1.07676                       97
                  1.07876                       97
                  1.08077                       97
                  1.08277                       97
                  1.08477                       97
                  1.08677                       97
                  1.08877                       97
                  1.09077                       97
                  1.09278                       97
                  1.09478                       97
                  1.09678                       97
                  1.09878                       97
                  1.10078                       97
                  1.10279                       97
                  1.10479                       97
                  1.10679                       97
                  1.10879                       97
                  1.11079                       97
                  1.11279                       97
                   1.1148                       97
                   1.1168                       97
                   1.1188                       97
                   1.1208                       97
                   1.1228                       97
                   1.1248                       97
                  1.12681                       97
                  1.12881                       97
                  1.13081                       97
                  1.13281                       97
                  1.13481                       97
                  1.13681                       97
                  1.13882                       97
                  1.14082                       97
                  1.14282                       97
                  1.14482                       97
                  1.14682                       97
                  1.14883                       97
                  1.15083                       97
                  1.15283                       97
                  1.15483                       97
                  1.15683                       97
                  1.15883                       97
                  1.16084                       97
                  1.16284                       97
                  1.16484                       97
                  1.16684                       97
                  1.16884                       97
                  1.17084                       97
                  1.17285                       97
                  1.17485                       97
                  1.17685                       97
                  1.17885                       97
                  1.18085                       97
                  1.18285                       97
                  1.18486                       97
                  1.18686                       97
                  1.18886                       97
                  1.19086                       97
                  1.19286                       97
                  1.19487                       97
                  1.19687                       97
                  1.19887                       97
                  1.20087                       97
                  1.20287                       97
                  1.20487                       97
                  1.20688                       97
                  1.20888                       97
                  1.21088                       97
                  1.21288                       97
                  1.21488                       97
                  1.21688                       97
                  1.21889                       97
                  1.22089                       97
                  1.22289                       97
                  1.22489                       97
                  1.22689                       97
                  1.22889                       97
                   1.2309                       97
                   1.2329                       97
                   1.2349                       97
                   1.2369                       97
                   1.2389                       97
                  1.24091                       97
                  1.24291                       97
                  1.24491                       97
                  1.24691                       97
                  1.24891                       97
                  1.25091                       97
                  1.25292                       97
                  1.25492                       97
                  1.25692                       97
                  1.25892                       97
                  1.26092                       97
                  1.26292                       97
                  1.26493                       97
                  1.26693                       97
                  1.26893                       97
